data,regiao,carga
2016-01-01,NORDESTE,8407.59523594
2016-01-02,NORDESTE,9045.16079888
2016-01-03,NORDESTE,9045.63431329
2016-01-04,NORDESTE,10186.94090278
2016-01-05,NORDESTE,10162.76304891
2016-01-06,NORDESTE,10163.93824663
2016-01-07,NORDESTE,10068.11326493
2016-01-08,NORDESTE,9976.73128034
2016-01-09,NORDESTE,9241.01204934
2016-01-10,NORDESTE,8387.47581151
2016-01-11,NORDESTE,9713.48592351
2016-01-12,NORDESTE,10153.8914036
2016-01-13,NORDESTE,10376.99317151
2016-01-14,NORDESTE,10283.923
2016-01-15,NORDESTE,10230.94741667
2016-01-16,NORDESTE,9831.89616667
2016-01-17,NORDESTE,9088.02695833
2016-01-18,NORDESTE,9802.82379167
2016-01-19,NORDESTE,9935.681125
2016-01-20,NORDESTE,9984.72904167
2016-01-21,NORDESTE,9674.83516667
2016-01-22,NORDESTE,9624.17120833
2016-01-23,NORDESTE,9066.98308333
2016-01-24,NORDESTE,8507.80483333
2016-01-25,NORDESTE,9495.8135
2016-01-26,NORDESTE,9786.41058333
2016-01-27,NORDESTE,9816.30983333
2016-01-28,NORDESTE,9861.28654167
2016-01-29,NORDESTE,9635.91354167
2016-01-30,NORDESTE,8964.05454167
2016-01-31,NORDESTE,9245.397699145
2016-02-01,NORDESTE,9663.07083333
2016-02-02,NORDESTE,9800.671875
2016-02-03,NORDESTE,9934.43333333
2016-02-04,NORDESTE,10061.71004167
2016-02-05,NORDESTE,10115.151875
2016-02-06,NORDESTE,9486.253
2016-02-07,NORDESTE,8639.56875
2016-02-08,NORDESTE,8713.23845833
2016-02-09,NORDESTE,8737.428625
2016-02-10,NORDESTE,9533.18220833
2016-02-11,NORDESTE,10420.366875
2016-02-12,NORDESTE,10611.45008333
2016-02-13,NORDESTE,10206.93908333
2016-02-14,NORDESTE,9331.411
2016-02-15,NORDESTE,10233.48893333
2016-02-16,NORDESTE,10331.96954167
2016-02-17,NORDESTE,10377.36404167
2016-02-18,NORDESTE,10417.98058333
2016-02-19,NORDESTE,10147.92866667
2016-02-20,NORDESTE,9544.66725
2016-02-21,NORDESTE,8976.78404167
2016-02-22,NORDESTE,10282.22483333
2016-02-23,NORDESTE,10422.307625
2016-02-24,NORDESTE,10438.81533333
