regiao,data,nivel,chuva,temperatura,ena,carga,bandeira,bandeira_code
NORDESTE,2016-01-01,4.88,0.0,27.447222222222223,3415.0,8407.59523594,Vermelha P1,2
NORDESTE,2016-01-02,4.84,0.2,27.594444444444445,3342.0,9045.16079888,Vermelha P1,2
NORDESTE,2016-01-03,4.8,0.0,27.929166666666667,3130.0,9045.63431329,Vermelha P1,2
NORDESTE,2016-01-04,4.79,26.0,27.569444444444443,2938.0,10186.94090278,Vermelha P1,2
NORDESTE,2016-01-05,4.79,35.0,27.288888888888888,2999.0,10162.76304891,Vermelha P1,2
NORDESTE,2016-01-06,4.76,26.6,27.070833333333333,3447.0,10163.93824663,Vermelha P1,2
NORDESTE,2016-01-07,4.86,12.6,27.31527777777778,4055.0,10068.11326493,Vermelha P1,2
NORDESTE,2016-01-08,4.94,21.0,27.2,4215.0,9976.73128034,Vermelha P1,2
NORDESTE,2016-01-09,5.02,80.60000000000001,25.76944444444445,4166.0,9241.01204934,Vermelha P1,2
NORDESTE,2016-01-10,5.07,29.4,26.464285714285715,3767.0,8387.47581151,Vermelha P1,2
NORDESTE,2016-01-11,5.04,0.4,27.508333333333333,3497.0,9713.48592351,Vermelha P1,2
NORDESTE,2016-01-12,5.05,1.8,27.51111111111111,3388.0,10153.8914036,Vermelha P1,2
NORDESTE,2016-01-13,5.09,0.0,27.86388888888889,3401.0,10376.99317151,Vermelha P1,2
NORDESTE,2016-01-14,5.23,3.0,27.808333333333334,3689.0,10283.923,Vermelha P1,2
NORDESTE,2016-01-15,5.36,3.8,27.780555555555555,3820.0,10230.94741667,Vermelha P1,2
NORDESTE,2016-01-16,5.52,4.0,28.109722222222224,4049.0,9831.89616667,Vermelha P1,2
NORDESTE,2016-01-17,5.72,9.2,27.666129032258063,4356.0,9088.02695833,Vermelha P1,2
NORDESTE,2016-01-18,6.1,17.8,26.430909090909093,4871.0,9802.82379167,Vermelha P1,2
NORDESTE,2016-01-19,6.6,10.2,27.12545454545455,5301.0,9935.681125,Vermelha P1,2
NORDESTE,2016-01-20,7.36,20.6,27.21607142857143,6212.0,9984.72904167,Vermelha P1,2
NORDESTE,2016-01-21,8.24,27.2,25.6625,7742.0,9674.83516667,Vermelha P1,2
NORDESTE,2016-01-22,9.24,16.2,26.25,10206.0,9624.17120833,Vermelha P1,2
NORDESTE,2016-01-23,10.55,19.8,26.37291666666667,12167.0,9066.98308333,Vermelha P1,2
NORDESTE,2016-01-24,11.53,0.0,27.91551724137931,12826.0,8507.80483333,Vermelha P1,2
NORDESTE,2016-01-25,12.44,0.2,28.13389830508475,14376.0,9495.8135,Vermelha P1,2
NORDESTE,2016-01-26,13.37,3.2,27.50677966101695,15171.0,9786.41058333,Vermelha P1,2
NORDESTE,2016-01-27,14.32,0.4,27.98166666666667,15662.0,9816.30983333,Vermelha P1,2
NORDESTE,2016-01-28,15.19,0.6000000000000001,28.14655172413793,15764.0,9861.28654167,Vermelha P1,2
NORDESTE,2016-01-29,15.86,11.4,27.20689655172414,15473.0,9635.91354167,Vermelha P1,2
NORDESTE,2016-01-30,16.56,0.2,26.896491228070172,15007.0,8964.05454167,Vermelha P1,2
NORDESTE,2016-01-31,17.21,6.2,26.405263157894737,15092.0,9245.397699145,Vermelha P1,2
NORDESTE,2016-02-01,17.9,6.2,27.002,14940.0,9663.07083333,Vermelha P2,3
NORDESTE,2016-02-02,18.65,4.6,26.77735849056604,15225.0,9800.671875,Vermelha P2,3
NORDESTE,2016-02-03,19.56,5.0,27.047727272727272,15574.0,9934.43333333,Vermelha P2,3
NORDESTE,2016-02-04,20.27,2.0,28.119565217391305,15841.0,10061.71004167,Vermelha P2,3
NORDESTE,2016-02-05,21.01,0.4,28.555319148936167,15894.0,10115.151875,Vermelha P2,3
NORDESTE,2016-02-06,21.62,0.0,28.858139534883723,15986.0,9486.253,Vermelha P2,3
NORDESTE,2016-02-07,22.41,0.2,28.56428571428572,16176.0,8639.56875,Vermelha P2,3
NORDESTE,2016-02-08,23.05,2.0,28.118604651162787,16477.0,8713.23845833,Vermelha P2,3
NORDESTE,2016-02-09,23.81,0.8,27.92325581395349,16523.0,8737.428625,Vermelha P2,3
