data,subsistema,ena
2016-01-01,NORDESTE,3415.0
2016-01-01,NORTE,1878.0
2016-01-01,SUDESTE,50215.0
2016-01-01,SUL,23255.0
2016-01-02,NORDESTE,3342.0
2016-01-02,NORTE,1884.0
2016-01-02,SUDESTE,51937.0
2016-01-02,SUL,24500.0
2016-01-03,NORDESTE,3130.0
2016-01-03,NORTE,1940.0
2016-01-03,SUDESTE,53468.0
2016-01-03,SUL,23315.0
2016-01-04,NORDESTE,2938.0
2016-01-04,NORTE,1965.0
2016-01-04,SUDESTE,54512.0
2016-01-04,SUL,21148.0
2016-01-05,NORDESTE,2999.0
2016-01-05,NORTE,2006.0
2016-01-05,SUDESTE,55056.0
2016-01-05,SUL,19398.0
2016-01-06,NORDESTE,3447.0
2016-01-06,NORTE,2021.0
2016-01-06,SUDESTE,55428.0
2016-01-06,SUL,18635.0
2016-01-07,NORDESTE,4055.0
2016-01-07,NORTE,2084.0
2016-01-07,SUDESTE,55479.0
2016-01-07,SUL,17942.0
2016-01-08,NORDESTE,4215.0
2016-01-08,NORTE,2203.0
2016-01-08,SUDESTE,55529.0
2016-01-08,SUL,17479.0
2016-01-09,NORDESTE,4166.0
2016-01-09,NORTE,2375.0
2016-01-09,SUDESTE,56819.0
2016-01-09,SUL,17105.0
2016-01-10,NORDESTE,3767.0
2016-01-10,NORTE,2585.0
2016-01-10,SUDESTE,58241.0
2016-01-10,SUL,19234.0
2016-01-11,NORDESTE,3497.0
2016-01-11,NORTE,2864.0
2016-01-11,SUDESTE,61267.0
2016-01-11,SUL,21155.0
2016-01-12,NORDESTE,3388.0
2016-01-12,NORTE,3126.0
2016-01-12,SUDESTE,67725.0
2016-01-12,SUL,21026.0
2016-01-13,NORDESTE,3401.0
2016-01-13,NORTE,3340.0
2016-01-13,SUDESTE,75459.0
2016-01-13,SUL,19394.0
2016-01-14,NORDESTE,3689.0
2016-01-14,NORTE,3513.0
2016-01-14,SUDESTE,83942.0
2016-01-14,SUL,17666.0
2016-01-15,NORDESTE,3820.0
2016-01-15,NORTE,3654.0
2016-01-15,SUDESTE,90566.0
2016-01-15,SUL,16200.0
2016-01-16,NORDESTE,4049.0
2016-01-16,NORTE,3801.0
2016-01-16,SUDESTE,96988.0
2016-01-16,SUL,15205.0
2016-01-17,NORDESTE,4356.0
2016-01-17,NORTE,3982.0
2016-01-17,SUDESTE,101422.0
2016-01-17,SUL,14232.0
2016-01-18,NORDESTE,4871.0
2016-01-18,NORTE,4213.0
2016-01-18,SUDESTE,104767.0
2016-01-18,SUL,13280.0
2016-01-19,NORDESTE,5301.0
2016-01-19,NORTE,4513.0
2016-01-19,SUDESTE,106521.0
2016-01-19,SUL,12558.0
2016-01-20,NORDESTE,6212.0
2016-01-20,NORTE,4874.0
2016-01-20,SUDESTE,108859.0
2016-01-20,SUL,11908.0
2016-01-21,NORDESTE,7742.0
2016-01-21,NORTE,5282.0
2016-01-21,SUDESTE,110765.0
2016-01-21,SUL,11199.0
2016-01-22,NORDESTE,10206.0
2016-01-22,NORTE,5705.0
2016-01-22,SUDESTE,110547.0
2016-01-22,SUL,10428.0
2016-01-23,NORDESTE,12167.0
2016-01-23,NORTE,6175.0
2016-01-23,SUDESTE,108239.0
2016-01-23,SUL,9624.0
2016-01-24,NORDESTE,12826.0
2016-01-24,NORTE,6978.0
2016-01-24,SUDESTE,102243.0
2016-01-24,SUL,8979.0
2016-01-25,NORDESTE,14376.0
2016-01-25,NORTE,7634.0
2016-01-25,SUDESTE,95875.0
2016-01-25,SUL,8430.0
2016-01-26,NORDESTE,15171.0
2016-01-26,NORTE,8411.0
2016-01-26,SUDESTE,90396.0
2016-01-26,SUL,8426.0
2016-01-27,NORDESTE,15662.0
2016-01-27,NORTE,9476.0
2016-01-27,SUDESTE,87853.0
2016-01-27,SUL,8453.0
2016-01-28,NORDESTE,15764.0
2016-01-28,NORTE,10611.0
2016-01-28,SUDESTE,83748.0
