regiao,data,nivel
NORDESTE,2016-01-01,4.88
NORDESTE,2016-01-02,4.84
NORDESTE,2016-01-03,4.8
NORDESTE,2016-01-04,4.79
NORDESTE,2016-01-05,4.79
NORDESTE,2016-01-06,4.76
NORDESTE,2016-01-07,4.86
NORDESTE,2016-01-08,4.94
NORDESTE,2016-01-09,5.02
NORDESTE,2016-01-10,5.07
NORDESTE,2016-01-11,5.04
NORDESTE,2016-01-12,5.05
NORDESTE,2016-01-13,5.09
NORDESTE,2016-01-14,5.23
NORDESTE,2016-01-15,5.36
NORDESTE,2016-01-16,5.52
NORDESTE,2016-01-17,5.72
NORDESTE,2016-01-18,6.1
NORDESTE,2016-01-19,6.6
NORDESTE,2016-01-20,7.36
NORDESTE,2016-01-21,8.24
NORDESTE,2016-01-22,9.24
NORDESTE,2016-01-23,10.55
NORDESTE,2016-01-24,11.53
NORDESTE,2016-01-25,12.44
NORDESTE,2016-01-26,13.37
NORDESTE,2016-01-27,14.32
NORDESTE,2016-01-28,15.19
NORDESTE,2016-01-29,15.86
NORDESTE,2016-01-30,16.56
NORDESTE,2016-01-31,17.21
NORDESTE,2016-02-01,17.9
NORDESTE,2016-02-02,18.65
NORDESTE,2016-02-03,19.56
NORDESTE,2016-02-04,20.27
NORDESTE,2016-02-05,21.01
NORDESTE,2016-02-06,21.62
NORDESTE,2016-02-07,22.41
NORDESTE,2016-02-08,23.05
NORDESTE,2016-02-09,23.81
NORDESTE,2016-02-10,24.54
NORDESTE,2016-02-11,25.07
NORDESTE,2016-02-12,25.76
NORDESTE,2016-02-13,26.36
NORDESTE,2016-02-14,26.86
NORDESTE,2016-02-15,27.75
NORDESTE,2016-02-16,28.29
NORDESTE,2016-02-17,28.82
NORDESTE,2016-02-18,29.34
NORDESTE,2016-02-19,29.64
NORDESTE,2016-02-20,29.94
NORDESTE,2016-02-21,30.26
NORDESTE,2016-02-22,30.47
NORDESTE,2016-02-23,30.58
NORDESTE,2016-02-24,30.71
NORDESTE,2016-02-25,30.85
NORDESTE,2016-02-26,30.96
NORDESTE,2016-02-27,31.17
NORDESTE,2016-02-28,31.3
NORDESTE,2016-02-29,31.4
NORDESTE,2016-03-01,31.5
NORDESTE,2016-03-02,31.63
NORDESTE,2016-03-03,31.78
NORDESTE,2016-03-04,31.91
NORDESTE,2016-03-05,32.09
NORDESTE,2016-03-06,32.24
NORDESTE,2016-03-07,32.32
NORDESTE,2016-03-08,32.43
NORDESTE,2016-03-09,32.64
NORDESTE,2016-03-10,32.79
NORDESTE,2016-03-11,32.88
NORDESTE,2016-03-12,32.92
NORDESTE,2016-03-13,32.96
NORDESTE,2016-03-14,32.99
NORDESTE,2016-03-15,32.95
NORDESTE,2016-03-16,32.92
NORDESTE,2016-03-17,32.99
NORDESTE,2016-03-18,33.09
NORDESTE,2016-03-19,33.17
NORDESTE,2016-03-20,33.23
NORDESTE,2016-03-21,33.32
NORDESTE,2016-03-22,33.48
NORDESTE,2016-03-23,33.58
NORDESTE,2016-03-24,33.66
NORDESTE,2016-03-25,33.75
NORDESTE,2016-03-26,33.85
NORDESTE,2016-03-27,33.95
NORDESTE,2016-03-28,34.04
NORDESTE,2016-03-29,34.14
NORDESTE,2016-03-30,34.21
NORDESTE,2016-03-31,34.3
NORDESTE,2016-04-01,34.42
NORDESTE,2016-04-02,34.47
NORDESTE,2016-04-03,34.51
NORDESTE,2016-04-04,34.53
NORDESTE,2016-04-05,34.53
NORDESTE,2016-04-06,34.49
NORDESTE,2016-04-07,34.41
NORDESTE,2016-04-08,34.37
NORDESTE,2016-04-09,34.32
NORDESTE,2016-04-10,34.25
NORDESTE,2016-04-11,34.21
NORDESTE,2016-04-12,34.17
NORDESTE,2016-04-13,34.13
NORDESTE,2016-04-14,34.07
NORDESTE,2016-04-15,34.01
NORDESTE,2016-04-16,33.98
NORDESTE,2016-04-17,33.92
NORDESTE,2016-04-18,33.82
NORDESTE,2016-04-19,33.72
NORDESTE,2016-04-20,33.62
NORDESTE,2016-04-21,33.53
NORDESTE,2016-04-22,33.47
NORDESTE,2016-04-23,33.36
NORDESTE,2016-04-24,33.26
NORDESTE,2016-04-25,33.2
NORDESTE,2016-04-26,33.15
NORDESTE,2016-04-27,33.11
NORDESTE,2016-04-28,33.01
NORDESTE,2016-04-29,32.9
NORDESTE,2016-04-30,32.79
NORDESTE,2016-05-01,32.68
NORDESTE,2016-05-02,32.57
NORDESTE,2016-05-03,32.46
NORDESTE,2016-05-04,32.34
NORDESTE,2016-05-05,32.27
NORDESTE,2016-05-06,32.21
NORDESTE,2016-05-07,32.1
NORDESTE,2016-05-08,32.0
NORDESTE,2016-05-09,31.88
NORDESTE,2016-05-10,31.76
NORDESTE,2016-05-11,31.64
NORDESTE,2016-05-12,31.54
NORDESTE,2016-05-13,31.43
NORDESTE,2016-05-14,31.31
NORDESTE,2016-05-15,31.21
NORDESTE,2016-05-16,31.11
NORDESTE,2016-05-17,31.04
NORDESTE,2016-05-18,30.97
NORDESTE,2016-05-19,30.91
NORDESTE,2016-05-20,30.83
NORDESTE,2016-05-21,30.77
NORDESTE,2016-05-22,30.7
NORDESTE,2016-05-23,30.62
NORDESTE,2016-05-24,30.57
NORDESTE,2016-05-25,30.46
NORDESTE,2016-05-26,30.36
NORDESTE,2016-05-27,30.26
NORDESTE,2016-05-28,30.15
NORDESTE,2016-05-29,30.05
NORDESTE,2016-05-30,29.94
NORDESTE,2016-05-31,29.84
NORDESTE,2016-06-01,29.74
NORDESTE,2016-06-02,29.63
NORDESTE,2016-06-03,29.52
NORDESTE,2016-06-04,29.41
NORDESTE,2016-06-05,29.32
NORDESTE,2016-06-06,29.22
NORDESTE,2016-06-07,29.17
NORDESTE,2016-06-08,29.13
NORDESTE,2016-06-09,29.09
NORDESTE,2016-06-10,29.04
NORDESTE,2016-06-11,28.91
NORDESTE,2016-06-12,28.81
NORDESTE,2016-06-13,28.61
NORDESTE,2016-06-14,28.41
NORDESTE,2016-06-15,28.3
NORDESTE,2016-06-16,28.18
NORDESTE,2016-06-17,28.07
NORDESTE,2016-06-18,27.97
NORDESTE,2016-06-19,27.85
NORDESTE,2016-06-20,27.74
NORDESTE,2016-06-21,27.65
NORDESTE,2016-06-22,27.56
NORDESTE,2016-06-23,27.46
NORDESTE,2016-06-24,27.35
NORDESTE,2016-06-25,27.25
NORDESTE,2016-06-26,27.14
NORDESTE,2016-06-27,27.07
NORDESTE,2016-06-28,26.95
NORDESTE,2016-06-29,26.84
NORDESTE,2016-06-30,26.7
NORDESTE,2016-07-01,26.55
NORDESTE,2016-07-02,26.44
NORDESTE,2016-07-03,26.32
NORDESTE,2016-07-04,26.2
NORDESTE,2016-07-05,26.08
NORDESTE,2016-07-06,25.96
NORDESTE,2016-07-07,25.84
NORDESTE,2016-07-08,25.72
NORDESTE,2016-07-09,25.61
NORDESTE,2016-07-10,25.47
NORDESTE,2016-07-11,25.39
NORDESTE,2016-07-12,25.25
NORDESTE,2016-07-13,25.11
NORDESTE,2016-07-14,25.01
NORDESTE,2016-07-15,24.89
NORDESTE,2016-07-16,24.82
NORDESTE,2016-07-17,24.74
NORDESTE,2016-07-18,24.61
NORDESTE,2016-07-19,24.5
NORDESTE,2016-07-20,24.37
NORDESTE,2016-07-21,24.26
NORDESTE,2016-07-22,24.15
NORDESTE,2016-07-23,24.03
NORDESTE,2016-07-24,23.92
NORDESTE,2016-07-25,23.8
NORDESTE,2016-07-26,23.69
NORDESTE,2016-07-27,23.57
NORDESTE,2016-07-28,23.44
NORDESTE,2016-07-29,23.28
NORDESTE,2016-07-30,23.14
NORDESTE,2016-07-31,22.99
NORDESTE,2016-08-01,22.84
NORDESTE,2016-08-02,22.71
NORDESTE,2016-08-03,22.59
NORDESTE,2016-08-04,22.47
NORDESTE,2016-08-05,22.35
NORDESTE,2016-08-06,22.24
NORDESTE,2016-08-07,22.12
NORDESTE,2016-08-08,21.98
NORDESTE,2016-08-09,21.85
NORDESTE,2016-08-10,21.73
NORDESTE,2016-08-11,21.61
NORDESTE,2016-08-12,21.49
NORDESTE,2016-08-13,21.37
NORDESTE,2016-08-14,21.25
NORDESTE,2016-08-15,21.1
NORDESTE,2016-08-16,20.94
NORDESTE,2016-08-17,20.86
NORDESTE,2016-08-18,20.72
NORDESTE,2016-08-19,20.59
NORDESTE,2016-08-20,20.47
NORDESTE,2016-08-21,20.35
NORDESTE,2016-08-22,20.19
NORDESTE,2016-08-23,20.04
NORDESTE,2016-08-24,19.88
NORDESTE,2016-08-25,19.77
NORDESTE,2016-08-26,19.65
NORDESTE,2016-08-27,19.53
NORDESTE,2016-08-28,19.41
NORDESTE,2016-08-29,19.26
NORDESTE,2016-08-30,19.08
NORDESTE,2016-08-31,18.9
NORDESTE,2016-09-01,18.75
NORDESTE,2016-09-02,18.59
NORDESTE,2016-09-03,18.42
NORDESTE,2016-09-04,18.27
NORDESTE,2016-09-05,18.1
NORDESTE,2016-09-06,17.95
NORDESTE,2016-09-07,17.78
NORDESTE,2016-09-08,17.64
NORDESTE,2016-09-09,17.51
NORDESTE,2016-09-10,17.36
NORDESTE,2016-09-11,17.24
NORDESTE,2016-09-12,17.06
