regiao,data,nivel
BELO MONTE,2016-01-01,4.55
BELO MONTE,2016-01-02,4.55
BELO MONTE,2016-01-03,4.55
BELO MONTE,2016-01-04,4.55
BELO MONTE,2016-01-05,4.55
BELO MONTE,2016-01-06,4.55
BELO MONTE,2016-01-07,4.55
BELO MONTE,2016-01-08,4.55
BELO MONTE,2016-01-09,4.55
BELO MONTE,2016-01-10,4.55
BELO MONTE,2016-01-11,4.55
BELO MONTE,2016-01-12,4.55
BELO MONTE,2016-01-13,4.55
BELO MONTE,2016-01-14,4.55
BELO MONTE,2016-01-15,4.55
BELO MONTE,2016-01-16,4.55
BELO MONTE,2016-01-17,4.55
BELO MONTE,2016-01-18,4.55
BELO MONTE,2016-01-19,4.55
BELO MONTE,2016-01-20,4.55
BELO MONTE,2016-01-21,4.55
BELO MONTE,2016-01-22,4.55
BELO MONTE,2016-01-23,4.55
BELO MONTE,2016-01-24,4.55
BELO MONTE,2016-01-25,4.55
BELO MONTE,2016-01-26,4.55
BELO MONTE,2016-01-27,4.55
BELO MONTE,2016-01-28,4.55
BELO MONTE,2016-01-29,4.55
BELO MONTE,2016-01-30,4.55
BELO MONTE,2016-01-31,9.09
BELO MONTE,2016-02-01,9.09
BELO MONTE,2016-02-02,9.09
BELO MONTE,2016-02-03,9.09
BELO MONTE,2016-02-04,13.64
BELO MONTE,2016-02-05,13.64
BELO MONTE,2016-02-06,13.64
BELO MONTE,2016-02-07,13.64
BELO MONTE,2016-02-08,13.64
BELO MONTE,2016-02-09,13.64
BELO MONTE,2016-02-10,13.64
BELO MONTE,2016-02-11,13.64
BELO MONTE,2016-02-12,9.09
BELO MONTE,2016-02-13,9.09
BELO MONTE,2016-02-14,9.09
BELO MONTE,2016-02-15,9.09
BELO MONTE,2016-02-16,9.09
BELO MONTE,2016-02-17,9.09
BELO MONTE,2016-02-18,9.09
BELO MONTE,2016-02-19,13.64
BELO MONTE,2016-02-20,13.64
BELO MONTE,2016-02-21,13.64
BELO MONTE,2016-02-22,13.64
BELO MONTE,2016-02-23,13.64
BELO MONTE,2016-02-24,13.64
BELO MONTE,2016-02-25,13.64
BELO MONTE,2016-02-26,13.64
BELO MONTE,2016-02-27,13.64
BELO MONTE,2016-02-28,13.64
BELO MONTE,2016-02-29,13.64
BELO MONTE,2016-03-01,13.64
BELO MONTE,2016-03-02,18.18
BELO MONTE,2016-03-03,18.18
BELO MONTE,2016-03-04,18.18
BELO MONTE,2016-03-05,18.18
BELO MONTE,2016-03-06,18.18
BELO MONTE,2016-03-07,22.73
BELO MONTE,2016-03-08,22.73
BELO MONTE,2016-03-09,22.73
BELO MONTE,2016-03-10,22.73
BELO MONTE,2016-03-11,22.73
BELO MONTE,2016-03-12,22.73
BELO MONTE,2016-03-13,22.73
BELO MONTE,2016-03-14,22.73
BELO MONTE,2016-03-15,22.73
BELO MONTE,2016-03-16,27.27
