nom_ree,ear_data,ear_max_ree,ear_verif_ree_mwmes,ear_verif_ree_percentual
BELO MONTE,2016-01-01,22.0,1.0,4.55
ITAIPU,2016-01-01,0.0,0.0,0.0
MADEIRA,2016-01-01,290.0,-31.0,-10.69
NORDESTE,2016-01-01,51809.0,2528.0,4.88
NORTE,2016-01-01,15018.0,2230.0,14.85
PARANA,2016-01-01,152257.0,50854.0,33.4
SUDESTE,2016-01-01,50796.0,8707.0,17.14
SUL,2016-01-01,20100.0,19723.0,98.12
TELES PIRES,2016-01-01,0.0,0.0,0.0
BELO MONTE,2016-01-02,22.0,1.0,4.55
ITAIPU,2016-01-02,0.0,0.0,0.0
MADEIRA,2016-01-02,290.0,-31.0,-10.69
NORDESTE,2016-01-02,51809.0,2508.0,4.84
NORTE,2016-01-02,15018.0,2232.0,14.86
PARANA,2016-01-02,152257.0,51087.0,33.55
SUDESTE,2016-01-02,50796.0,8743.0,17.21
SUL,2016-01-02,20100.0,19631.0,97.67
TELES PIRES,2016-01-02,0.0,0.0,0.0
BELO MONTE,2016-01-03,22.0,1.0,4.55
ITAIPU,2016-01-03,0.0,0.0,0.0
MADEIRA,2016-01-03,290.0,-30.0,-10.34
NORDESTE,2016-01-03,51809.0,2488.0,4.8
NORTE,2016-01-03,15018.0,2234.0,14.88
PARANA,2016-01-03,152257.0,51491.0,33.82
SUDESTE,2016-01-03,50796.0,8784.0,17.29
SUL,2016-01-03,20100.0,19567.0,97.35
TELES PIRES,2016-01-03,0.0,0.0,0.0
BELO MONTE,2016-01-04,22.0,1.0,4.55
ITAIPU,2016-01-04,0.0,0.0,0.0
MADEIRA,2016-01-04,290.0,-29.0,-10.0
NORDESTE,2016-01-04,51809.0,2484.0,4.79
NORTE,2016-01-04,15018.0,2208.0,14.7
PARANA,2016-01-04,152257.0,51743.0,33.98
SUDESTE,2016-01-04,50796.0,8758.0,17.24
SUL,2016-01-04,20100.0,19582.0,97.42
TELES PIRES,2016-01-04,0.0,0.0,0.0
BELO MONTE,2016-01-05,22.0,1.0,4.55
ITAIPU,2016-01-05,0.0,0.0,0.0
MADEIRA,2016-01-05,290.0,-29.0,-10.0
NORDESTE,2016-01-05,51809.0,2481.0,4.79
NORTE,2016-01-05,15018.0,2186.0,14.56
PARANA,2016-01-05,152257.0,52224.0,34.3
SUDESTE,2016-01-05,50796.0,8713.0,17.15
